antecedent,consequent,confidence,lift
PACK OF 20 SKULL PAPER NAPKINS,PACK OF 6 SKULL PAPER CUPS,0.8571,36.7854
SET OF 3 REGENCY CAKE TINS,SET OF 3 CAKE TINS PANTRY DESIGN,0.3333,4.0012
SET/20 RED RETROSPOT PAPER NAPKINS,POSTAGE,0.4118,1.0381
CHILDRENS CUTLERY CIRCUS PARADE,CHILDRENS CUTLERY SPACEBOY,0.9167,13.0957
MINI JIGSAW SPACEBOY,ROUND SNACK BOXES SET OF4 WOODLAND,0.4286,2.9909
PICNIC BOXES SET OF 3 RETROSPOT,POSTAGE,0.6,1.5125
PLASTERS IN TIN VINTAGE PAISLEY,PLASTERS IN TIN SPACEBOY,0.7778,10.1408
LUNCH BOX I LOVE LONDON,SPACEBOY LUNCH BOX,0.5385,4.8955
SET/20 RED RETROSPOT PAPER NAPKINS,SET/6 RED SPOTTY PAPER PLATES,0.7059,17.6475
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN SPACEBOY,0.6,7.8227
SPACE BOY CHILDRENS CUP,DOLLY GIRL CHILDRENS CUP,0.7778,29.1311
PINK POLKADOT BOWL,BLUE POLKADOT PLATE,0.6,22.4719
DOLLY GIRL LUNCH BOX,PLASTERS IN TIN CIRCUS PARADE,0.25,3.9494
PACK OF 60 SPACEBOY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.3529,9.6158
SET OF 6 TEA TIME BAKING CASES,SET OF 12 MINI LOAF BAKING CASES,0.75,25.0
MINI JIGSAW DOLLY GIRL,MINI JIGSAW SPACEBOY,0.7273,15.5739
BAKING SET 9 PIECE RETROSPOT,POSTAGE,0.45,1.1344
DOLLY GIRL LUNCH BOX,PLASTERS IN TIN SPACEBOY,0.2778,3.6219
ROUND SNACK BOXES SET OF4 WOODLAND,PLASTERS IN TIN STRONGMAN,0.2093,4.186
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.6364,17.3406
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,0.8333,20.8325
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.7222,6.5655
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.55,11.0
ROUND SNACK BOXES SET OF 4 FRUITS,LUNCH BAG WOODLAND,0.2609,4.8949
CHILDRENS CUTLERY SPACEBOY,CHILDRENS CUTLERY DOLLY GIRL,0.619,12.38
SET OF 3 CAKE TINS PANTRY DESIGN,PARTY BUNTING,0.24,4.5028
PLASTERS IN TIN SPACEBOY,SPACEBOY LUNCH BOX,0.3913,3.5573
SET OF 4 KNICK KNACK TINS DOILEY,TREASURE TIN GYMKHANA DESIGN,0.4615,15.3833
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN CIRCUS PARADE,0.5652,8.9289
MINI JIGSAW DOLLY GIRL,MINI JIGSAW CIRCUS PARADE,0.5455,18.1833
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.4211,11.4741
SET OF TEA COFFEE SUGAR TINS PANTRY,TREASURE TIN GYMKHANA DESIGN,0.4615,15.3833
SPACEBOY LUNCH BOX,PLASTERS IN TIN CIRCUS PARADE,0.2424,3.8294
REGENCY TEAPOT ROSES,REGENCY MILK JUG PINK,0.6364,21.2133
DOLLY GIRL LUNCH BOX,CIRCUS PARADE LUNCH BOX,0.3889,5.8306
BLUE 3 PIECE POLKADOT CUTLERY SET,PINK 3 PIECE POLKADOT CUTLERY SET,0.6,11.257
PACK OF 60 SPACEBOY CAKE CASES,PACK OF 60 MUSHROOM CAKE CASES,0.5294,10.588
JUMBO BAG RED RETROSPOT,ROUND SNACK BOXES SET OF4 WOODLAND,0.4118,2.8737
CHILDRENS CUTLERY CIRCUS PARADE,CHILDRENS CUTLERY DOLLY GIRL,0.75,15.0
PACK OF 60 SPACEBOY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.4706,7.4344
REGENCY TEA PLATE ROSES,REGENCY SUGAR BOWL GREEN,0.6364,19.1111
ASSORTED COLOUR MINI CASES,POSTAGE,0.8571,2.1606
LUNCH BAG RED RETROSPOT,ROUND SNACK BOXES SET OF4 WOODLAND,0.45,3.1403
ROSES REGENCY TEACUP AND SAUCER,REGENCY MILK JUG PINK,0.3158,10.5267
LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,0.4375,14.5833
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG DOLLY GIRL DESIGN,0.5,15.015
PACK OF 20 SKULL PAPER NAPKINS,PACK OF 6 SKULL PAPER PLATES,0.8571,36.7854
BAKING SET 9 PIECE RETROSPOT,BAKING SET SPACEBOY DESIGN,0.3,8.1744
REGENCY TEAPOT ROSES,REGENCY SUGAR BOWL GREEN,0.6364,19.1111
BLUE HAPPY BIRTHDAY BUNTING,PARTY BUNTING,0.5,9.3809
CHILDRENS CUTLERY SPACEBOY,SPACEBOY LUNCH BOX,0.3333,3.03
WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.375,11.2613
BLUE POLKADOT BOWL,RED RETROSPOT PLATE,0.6,20.0
ROUND SNACK BOXES SET OF 4 FRUITS,PLASTERS IN TIN SPACEBOY,0.3043,3.9674
REGENCY CAKESTAND 3 TIER,PINK REGENCY TEACUP AND SAUCER,0.2143,5.8392
ROUND SNACK BOXES SET OF 4 FRUITS,PLASTERS IN TIN CIRCUS PARADE,0.2609,4.1216
PLASTERS IN TIN STRONGMAN,SPACEBOY LUNCH BOX,0.5333,4.8482
PINK HAPPY BIRTHDAY BUNTING,PARTY BUNTING,0.5833,10.9437
MINI JIGSAW SPACEBOY,MINI JIGSAW CIRCUS PARADE,0.5714,19.0467
CHARLOTTE BAG PINK POLKADOT,WOODLAND CHARLOTTE BAG,0.75,14.0713
PICNIC BOXES SET OF 3 RETROSPOT,ROUND SNACK BOXES SET OF4 WOODLAND,0.6,4.187
SET OF TEA COFFEE SUGAR TINS PANTRY,SET OF 3 REGENCY CAKE TINS,0.4615,6.5929
LUNCH BAG RED RETROSPOT,RED RETROSPOT PICNIC BAG,0.3,9.009
SPACE BOY CHILDRENS CUP,SPACEBOY CHILDRENS BOWL,0.6667,28.6137
LUNCH BOX I LOVE LONDON,CIRCUS PARADE LUNCH BOX,0.5385,8.0735
PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 MUSHROOM CAKE CASES,0.4211,8.422
DOLLY GIRL BABY GIFT SET,SPACEBOY BABY GIFT SET,0.6154,20.5133
SPACEBOY MINI BACKPACK,WOODLAND MINI BACKPACK,0.7778,33.382
ROUND SNACK BOXES SET OF 4 FRUITS,DOLLY GIRL LUNCH BOX,0.3478,2.8983
SPOTTY BUNTING,PARTY BUNTING,0.4,7.5047
ROUND SNACK BOXES SET OF 4 FRUITS,POSTAGE,0.7391,1.8631
SET/20 RED RETROSPOT PAPER NAPKINS,SET/6 RED SPOTTY PAPER CUPS,0.5882,14.705
SET OF 4 KNICK KNACK TINS LEAVES,ROUND STORAGE TIN VINTAGE LEAF,0.6667,24.97
DOLLY GIRL LUNCH BOX,POSTAGE,0.5833,1.4704
DOLLY GIRL MINI BACKPACK,SPACEBOY MINI BACKPACK,0.75,25.0
SET OF 4 KNICK KNACK TINS DOILEY,DOILEY STORAGE TIN,0.6154,14.2125
PACK OF 60 SPACEBOY CAKE CASES,60 CAKE CASES DOLLY GIRL DESIGN,0.3529,10.5976
REGENCY CAKESTAND 3 TIER,POSTAGE,0.3095,0.7802
RED RETROSPOT BOWL,RED RETROSPOT PLATE,0.5,16.6667
PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.3158,9.4835
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.5455,18.1833
60 CAKE CASES DOLLY GIRL DESIGN,POSTAGE,0.7,1.7646
RED TOADSTOOL LED NIGHT LIGHT,RABBIT NIGHT LIGHT,0.3,5.0
RED  HARMONICA IN BOX,BLUE HARMONICA IN BOX,0.5455,16.3814
CHILDRENS CUTLERY DOLLY GIRL,SPACEBOY LUNCH BOX,0.4,3.6364
RED RETROSPOT BOWL,POSTAGE,0.4286,1.0804
CIRCUS PARADE LUNCH BOX,SPACEBOY LUNCH BOX,0.8,7.2727
ASSORTED COLOUR MINI CASES,RED RETROSPOT MINI CASES,0.8571,16.0807
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.4,8.5653
REGENCY TEA PLATE ROSES,REGENCY TEAPOT ROSES,0.6364,17.3406
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.4211,11.4741
SET OF 12 MINI LOAF BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES,0.6667,16.6675
ROSES REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE ROSES,0.3158,8.6049
DOLLY GIRL LUNCH BOX,ROUND SNACK BOXES SET OF4 WOODLAND,0.4167,2.9079
RED RETROSPOT BOWL,PINK POLKADOT BOWL,0.6429,19.3063
SET/20 RED RETROSPOT PAPER NAPKINS,PACK OF 72 RETROSPOT CAKE CASES,0.4118,6.5055
SMALL CERAMIC TOP STORAGE JAR,MEDIUM CERAMIC TOP STORAGE JAR,1.0,37.4532
RED RETROSPOT BOWL,BLUE POLKADOT CUP,0.4286,16.0524
PACK OF 6 SKULL PAPER CUPS,PACK OF 6 SKULL PAPER PLATES,1.0,42.9185
SET OF 6 TEA TIME BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES,0.875,21.875
RED RETROSPOT BOWL,BLUE POLKADOT PLATE,0.4286,16.0524
SET OF 6 SPICE TINS PANTRY DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,0.5833,7.0024
ROUND SNACK BOXES SET OF4 WOODLAND,LUNCH BAG WOODLAND,0.2093,3.9268
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.5882,11.764
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,0.8333,20.8325
ROUND CONTAINER SET OF 5 RETROSPOT,ROUND SNACK BOXES SET OF4 WOODLAND,0.8571,5.9812
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.75,22.5225
BLUE POLKADOT BOWL,PINK POLKADOT BOWL,0.7,21.021
DINOSAUR LUNCH BOX WITH CUTLERY,STRAWBERRY LUNCH BOX WITH CUTLERY,0.75,18.75
LUNCH BOX I LOVE LONDON,DOLLY GIRL LUNCH BOX,0.4615,3.8458
PACK OF 72 RETROSPOT CAKE CASES,SET/10 RED POLKADOT PARTY CANDLES,0.3684,15.8112
MINI JIGSAW SPACEBOY,PLASTERS IN TIN CIRCUS PARADE,0.4286,6.7709
ROUND SNACK BOXES SET OF 4 FRUITS,PLASTERS IN TIN WOODLAND ANIMALS,0.2609,5.218
MINI JIGSAW SPACEBOY,PLASTERS IN TIN SPACEBOY,0.4286,5.588
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI  DESIGN,0.4286,16.0524
CIRCUS PARADE LUNCH BOX,PLASTERS IN TIN CIRCUS PARADE,0.35,5.5292
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE CHOCOLATE,0.4667,11.6675
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.5,10.7066
JUMBO BAG RED RETROSPOT,RED RETROSPOT CHARLOTTE BAG,0.3529,10.5976
PLASTERS IN TIN WOODLAND ANIMALS,ROUND SNACK BOXES SET OF4 WOODLAND,0.6,4.187
CHARLOTTE BAG PINK POLKADOT,ROUND SNACK BOXES SET OF4 WOODLAND,0.75,5.2338
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.8235,12.3463
PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN CIRCUS PARADE,0.6667,10.5324
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE CHOCOLATE,0.5294,13.235
ROUND SNACK BOXES SET OF 4 FRUITS,ROUND SNACK BOXES SET OF4 WOODLAND,0.7826,5.4613
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN STRONGMAN,0.3913,7.826
JUMBO BAG RED RETROSPOT,POSTAGE,0.4118,1.0381
PACK OF 60 SPACEBOY CAKE CASES,POSTAGE,0.4118,1.0381
RED 3 PIECE RETROSPOT CUTLERY SET,PINK 3 PIECE POLKADOT CUTLERY SET,0.5,9.3809
LUNCH BAG APPLE DESIGN,SPACEBOY LUNCH BOX,0.4286,3.8964
ROUND SNACK BOXES SET OF4 WOODLAND,PLASTERS IN TIN SPACEBOY,0.2791,3.6389
ROSES REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.7368,5.2629
BAKING SET 9 PIECE RETROSPOT,RED RETROSPOT MINI CASES,0.35,6.5666
ROUND SNACK BOXES SET OF4 WOODLAND,SPACEBOY LUNCH BOX,0.3256,2.96
ROUND SNACK BOXES SET OF4 WOODLAND,PLASTERS IN TIN CIRCUS PARADE,0.2093,3.3065
ROUND SNACK BOXES SET OF 4 FRUITS,PLASTERS IN TIN STRONGMAN,0.2609,5.218
PLASTERS IN TIN WOODLAND ANIMALS,POSTAGE,0.4667,1.1765
CHARLOTTE BAG PINK POLKADOT,POSTAGE,0.875,2.2057
PACK OF 60 DINOSAUR CAKE CASES,POSTAGE,0.6364,1.6042
PACK OF 60 MUSHROOM CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.4,10.8992
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE PINK,0.75,15.0
LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,0.45,8.4428
BLUE POLKADOT PLATE,RED RETROSPOT PLATE,0.875,29.1667
RECIPE BOX PANTRY YELLOW DESIGN,POSTAGE,0.4444,1.1202
CHILDRENS CUTLERY SPACEBOY,PINK 3 PIECE POLKADOT CUTLERY SET,0.2857,5.3602
LUNCH BAG RED RETROSPOT,SPACEBOY LUNCH BOX,0.3,2.7273
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE CHOCOLATE,0.55,13.75
POSTAGE,ROUND SNACK BOXES SET OF4 WOODLAND,0.2185,1.5248
DOLLY GIRL BEAKER,SPACEBOY BEAKER,0.875,32.7715
ROUND SNACK BOXES SET OF 4 FRUITS,RED RETROSPOT MINI CASES,0.2609,4.8949
REGENCY TEA PLATE ROSES,REGENCY MILK JUG PINK,0.5455,18.1833
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN CIRCUS PARADE,0.5333,8.425
RED RETROSPOT BOWL,BLUE POLKADOT BOWL,0.7143,21.4505
ROUND SNACK BOXES SET OF 4 FRUITS,LUNCH BAG RED RETROSPOT,0.2609,3.9115
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.45,15.0
ROUND SNACK BOXES SET OF 4 FRUITS,SPACEBOY LUNCH BOX,0.3478,3.1618
REGENCY MILK JUG PINK,REGENCY SUGAR BOWL GREEN,0.6667,20.021
LUNCH BOX I LOVE LONDON,POSTAGE,0.4615,1.1633
WOODLAND CHARLOTTE BAG,ROUND SNACK BOXES SET OF4 WOODLAND,0.4375,3.053
DOLLY GIRL LUNCH BOX,"CIRCUS PARADE LUNCH BOX, SPACEBOY LUNCH BOX",0.3611,6.7749
"DOLLY GIRL LUNCH BOX, CIRCUS PARADE LUNCH BOX",SPACEBOY LUNCH BOX,0.9286,8.4418
ROUND SNACK BOXES SET OF 4 FRUITS,"ROUND SNACK BOXES SET OF4 WOODLAND, SPACEBOY LUNCH BOX",0.3478,7.4475
"ROUND SNACK BOXES SET OF 4 FRUITS, ROUND SNACK BOXES SET OF4 WOODLAND",SPACEBOY LUNCH BOX,0.4444,4.04
"DOLLY GIRL LUNCH BOX, PLASTERS IN TIN STRONGMAN",SPACEBOY LUNCH BOX,1.0,9.0909
ALARM CLOCK BAKELIKE GREEN,"ALARM CLOCK BAKELIKE RED, ALARM CLOCK BAKELIKE PINK",0.5294,14.4251
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE RED",ALARM CLOCK BAKELIKE PINK,0.6429,12.858
"DOLLY GIRL LUNCH BOX, POSTAGE",PLASTERS IN TIN CIRCUS PARADE,0.2857,4.5134
PLASTERS IN TIN SPACEBOY,"PLASTERS IN TIN STRONGMAN, PLASTERS IN TIN CIRCUS PARADE",0.3478,10.4444
"PLASTERS IN TIN SPACEBOY, PLASTERS IN TIN STRONGMAN",PLASTERS IN TIN CIRCUS PARADE,0.8889,14.0427
ROUND SNACK BOXES SET OF 4 FRUITS,"ROUND SNACK BOXES SET OF4 WOODLAND, PLASTERS IN TIN SPACEBOY",0.3043,7.6075
"ROUND SNACK BOXES SET OF 4 FRUITS, ROUND SNACK BOXES SET OF4 WOODLAND",PLASTERS IN TIN SPACEBOY,0.3889,5.0704
PLASTERS IN TIN SPACEBOY,"PLASTERS IN TIN STRONGMAN, SPACEBOY LUNCH BOX",0.2609,9.7715
"PLASTERS IN TIN SPACEBOY, PLASTERS IN TIN STRONGMAN",SPACEBOY LUNCH BOX,0.6667,6.0609
ROUND SNACK BOXES SET OF 4 FRUITS,"DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND",0.3043,6.086
"ROUND SNACK BOXES SET OF 4 FRUITS, DOLLY GIRL LUNCH BOX",ROUND SNACK BOXES SET OF4 WOODLAND,0.875,6.1061
"POSTAGE, PLASTERS IN TIN SPACEBOY",PLASTERS IN TIN CIRCUS PARADE,0.5385,8.5071
ROUND SNACK BOXES SET OF 4 FRUITS,"ROUND SNACK BOXES SET OF4 WOODLAND, PLASTERS IN TIN CIRCUS PARADE",0.2609,8.6967
"ROUND SNACK BOXES SET OF 4 FRUITS, ROUND SNACK BOXES SET OF4 WOODLAND",PLASTERS IN TIN CIRCUS PARADE,0.3333,5.2654
"POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND",SPACEBOY LUNCH BOX,0.3462,3.1473
DOLLY GIRL LUNCH BOX,"PLASTERS IN TIN CIRCUS PARADE, SPACEBOY LUNCH BOX",0.2222,8.3221
"DOLLY GIRL LUNCH BOX, SPACEBOY LUNCH BOX",PLASTERS IN TIN CIRCUS PARADE,0.3077,4.861
PLASTERS IN TIN WOODLAND ANIMALS,"PLASTERS IN TIN SPACEBOY, PLASTERS IN TIN CIRCUS PARADE",0.4,9.2379
"PLASTERS IN TIN WOODLAND ANIMALS, PLASTERS IN TIN SPACEBOY",PLASTERS IN TIN CIRCUS PARADE,0.6667,10.5324
LUNCH BAG RED RETROSPOT,"ROUND SNACK BOXES SET OF4 WOODLAND, LUNCH BAG PINK POLKADOT",0.3,15.0
"LUNCH BAG RED RETROSPOT, ROUND SNACK BOXES SET OF4 WOODLAND",LUNCH BAG PINK POLKADOT,0.6667,22.2233
ALARM CLOCK BAKELIKE RED,"ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE CHOCOLATE",0.3,12.8755
"ALARM CLOCK BAKELIKE RED, ALARM CLOCK BAKELIKE PINK",ALARM CLOCK BAKELIKE CHOCOLATE,0.5455,13.6375
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.7778,21.1935
LUNCH BOX I LOVE LONDON,"CIRCUS PARADE LUNCH BOX, SPACEBOY LUNCH BOX",0.4615,8.6585
"LUNCH BOX I LOVE LONDON, CIRCUS PARADE LUNCH BOX",SPACEBOY LUNCH BOX,0.8571,7.7918
